"Statistic Label","Month","Driving Test Categories","Driving Test Centre","UNIT","VALUE"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Tralee, Co. Kerry","%","56"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Tralee (HGV's), Co. Kerry","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Tuam, Co. Galway","%","54.1"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Tullamore, Co. Offaly","%","56.6"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Waterford, Co. Waterford","%","48.5"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Wexford, Co. Wexford","%","52.2"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Wicklow, Co. Wicklow","%","37.8"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Galway (Clybaun Hotel), Co. Galway","%","54.2"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Sandyford, Co. Dublin","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Drogheda – Southgate, Co. Louth","%","48"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Mitchelstown, Co. Cork","%","53.7"
